Date,Year,Month,Day,Block,Block_oldname,block_newname,Row,Column,Hght_cm,Total_Nmb_Seed,Total_seed_wgt,Wgt_of_10,Wgt_of_20
1/31/2020,2020,1,31,2,PP,1-4,4,C,15,6,0,,
1/31/2020,2020,1,31,2,PP,1-4,4,C,17,13,0,0,
1/31/2020,2020,1,31,4,PP,1-4,3,C,30,6,0,,
1/31/2020,2020,1,31,5,VT,5-9,4,C,28,31,0,,0
1/31/2020,2020,1,31,5,VT,5-9,4,C,25,17,0,0,
1/31/2020,2020,1,31,5,VT,5-9,4,C,15,6,0,,
1/31/2020,2020,1,31,5,VT,5-9,4,C,13,2,0,,
1/31/2020,2020,1,31,5,VT,5-9,4,C,17,5,0,,
1/31/2020,2020,1,31,5,VT,5-9,4,C,15,4,0,,
1/31/2020,2020,1,31,5,VT,5-9,4,C,13,2,0,,
1/31/2020,2020,1,31,2,PP,1-4,3,D,12,8,0,,
2/10/2020,2020,2,10,1,PP,1-4,1,D,8,3,0,,
2/10/2020,2020,2,10,3,PP,1-4,2,B,19,59,1,,0
2/10/2020,2020,2,10,4,PP,1-4,3,C,16,4,0,,
2/10/2020,2020,2,10,4,PP,1-4,3,C,17,15,0,0,
2/10/2020,2020,2,10,4,PP,1-4,3,C,19,13,0,0,
2/10/2020,2020,2,10,4,PP,1-4,3,D,10,26,0,,0
2/10/2020,2020,2,10,5,VT,5-9,1,D,9,3,0,,
2/10/2020,2020,2,10,5,VT,5-9,4,D,6,1,0,,
2/21/2020,2020,2,21,1,PP,1-4,1,D,7,2,0,,
2/21/2020,2020,2,21,1,PP,1-4,2,D,7,3,0,,
2/21/2020,2020,2,21,2,PP,1-4,4,C,13,13,0,0,
2/21/2020,2020,2,21,2,PP,1-4,4,D,8,5,0,,
2/21/2020,2020,2,21,2,PP,1-4,WP,,8,6,0,,
2/21/2020,2020,2,21,3,PP,1-4,2,A,9,3,0,,
2/21/2020,2020,2,21,3,PP,1-4,2,A,10,3,0,,
2/21/2020,2020,2,21,4,PP,1-4,3,A,8,4,0,,
2/21/2020,2020,2,21,4,PP,1-4,3,A,6,2,0,,
2/21/2020,2020,2,21,4,PP,1-4,3,A,11,7,0,,
2/21/2020,2020,2,21,4,PP,1-4,3,B,7,3,0,,
2/21/2020,2020,2,21,4,PP,1-4,3,D,12,1,0,,
2/21/2020,2020,2,21,5,VT,5-9,1,D,6,2,0,,
2/28/2020,2020,2,28,1,PP,1-4,1,D,11,6,0,,
2/28/2020,2020,2,28,2,PP,1-4,3,D,10,3,0,,
2/28/2020,2020,2,28,2,PP,1-4,3,D,9,3,0,,
2/28/2020,2020,2,28,4,PP,1-4,3,A,9,4,0,,
2/28/2020,2020,2,28,4,PP,1-4,3,A,10,5,0,,
2/28/2020,2020,2,28,4,PP,1-4,3,C,16,33,0,0,0
2/28/2020,2020,2,28,4,PP,1-4,3,C,14,25,0,0,0
2/28/2020,2020,2,28,5,VT,5-9,5,D,10,2,0,,
3/5/2020,2020,3,5,1,PP,1-4,1,D,6,1,0,,
3/5/2020,2020,3,5,2,PP,1-4,4,C,9,6,0,,
3/5/2020,2020,3,5,2,PP,1-4,4,C,17,14,0,0,
3/5/2020,2020,3,5,2,PP,1-4,4,D,6,2,0,,
3/5/2020,2020,3,5,4,PP,1-4,3,C,17,30,1,0,0
3/5/2020,2020,3,5,5,VT,5-9,4,D,9,1,0,,
3/11/2020,2020,3,11,1,PP,1-4,1,D,10,1,0,,
3/11/2020,2020,3,11,2,PP,1-4,3,D,9,5,0,,
3/11/2020,2020,3,11,2,PP,1-4,3,D,9,5,0,,
3/11/2020,2020,3,11,2,PP,1-4,WP,,6,4,0,,
3/11/2020,2020,3,11,2,PP,1-4,4,C,28,122,3,0,1
3/11/2020,2020,3,11,2,PP,1-4,4,C,25,58,1,0,0
3/11/2020,2020,3,11,2,PP,1-4,4,D,6,7,0,,
3/11/2020,2020,3,11,2,PP,1-4,4,D,5,1,0,,
3/11/2020,2020,3,11,2,PP,1-4,4,D,18,87,1,0,0
3/11/2020,2020,3,11,4,PP,1-4,3,D,20,35,1,0,0
3/11/2020,2020,3,11,5,VT,5-9,2,D,8,3,0,,
3/11/2020,2020,3,11,5,VT,5-9,2,D,9,3,0,,
3/20/2020,2020,3,20,1,PP,1-4,1,D,10,2,0,,
3/20/2020,2020,3,20,1,PP,1-4,1,D,5,4,0,,
3/20/2020,2020,3,20,2,PP,1-4,3,D,8,6,0,,
3/20/2020,2020,3,20,2,PP,1-4,WP,,12,21,0,0,0
3/20/2020,2020,3,20,2,PP,1-4,4,C,32,83,2,0,0
3/20/2020,2020,3,20,2,PP,1-4,4,C,17,46,1,0,0
3/20/2020,2020,3,20,2,PP,1-4,4,D,7,2,0,,
3/20/2020,2020,3,20,4,PP,1-4,WP,,6,2,0,,
3/20/2020,2020,3,20,4,PP,1-4,WP,,8,3,0,,
3/20/2020,2020,3,20,4,PP,1-4,3,B,7,7,0,,
3/20/2020,2020,3,20,4,PP,1-4,3,C,10,8,0,,
3/20/2020,2020,3,20,4,PP,1-4,3,C,9,8,0,,
3/20/2020,2020,3,20,4,PP,1-4,3,C,21,47,0,0,0
3/20/2020,2020,3,20,4,PP,1-4,3,C,18,65,1,0,0
3/26/2020,2020,3,26,1,PP,1-4,1,D,15,20,0,0,0
3/26/2020,2020,3,26,2,PP,1-4,4,C,22,18,0,0,
3/26/2020,2020,3,26,2,PP,1-4,4,C,21,23,0,0,0
3/26/2020,2020,3,26,4,PP,1-4,3,A,9,9,0,,
3/26/2020,2020,3,26,4,PP,1-4,3,B,9,1,0,,
3/26/2020,2020,3,26,4,PP,1-4,3,C,26,74,1,0,0
3/26/2020,2020,3,26,4,PP,1-4,3,C,22,117,2,0,0
3/26/2020,2020,3,26,4,PP,1-4,3,C,5,4,0,,
3/26/2020,2020,3,26,4,PP,1-4,3,C,12,17,0,0,
3/26/2020,2020,3,26,4,PP,1-4,3,C,11,16,0,0,
3/26/2020,2020,3,26,4,PP,1-4,3,C,11,9,0,,
3/26/2020,2020,3,26,4,PP,1-4,3,C,16,87,1,0,0
3/26/2020,2020,3,26,4,PP,1-4,3,C,19,44,1,0,0
3/26/2020,2020,3,26,4,PP,1-4,3,C,28,75,1,0,0
3/26/2020,2020,3,26,4,PP,1-4,WP,,15,4,0,,
9/25/2020,2020,9,25,,PP2,10-13,,,79,,,,
9/25/2020,2020,9,25,,PP2,10-13,,,84,,,,
9/25/2020,2020,9,25,,PP2,10-13,,,78,,,,
9/25/2020,2020,9,25,,PP2,10-13,,,76,,,,
10/9/2020,2020,10,9,2,PP,1-4,3,C,30,1,0.014,0,0
10/9/2020,2020,10,9,,PP2,10-13,,,92,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,64,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,49,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,23,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,54,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,51,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,66,,,,
10/9/2020,2020,10,9,,PP2,10-13,,,102,,,,
10/16/2020,2020,10,16,,PP2,10-13,,,74,,,,
10/16/2020,2020,10,16,,PP2,10-13,,,81,,,,
10/16/2020,2020,10,16,,PP2,10-13,,,96,,,,
10/16/2020,2020,10,16,,PP2,10-13,,,95,,,,
10/16/2020,2020,10,16,,PP2,10-13,,,44,,,,
10/22/2020,2020,10,22,,PP2,10-13,,,71,,,,
10/22/2020,2020,10,22,,PP2,10-13,,,81,,,,
10/22/2020,2020,10,22,,PP2,10-13,,,68,,,,
