Date,Year,Month,Day,Block,Block_oldname,block_newname,Row,Column,Height_Males_cm
1/27/2020,2020,1,27,1,PP,1-4,WP,,16
1/27/2020,2020,1,27,1,PP,1-4,WP,,8
1/27/2020,2020,1,27,1,PP,1-4,WP,,12
1/27/2020,2020,1,27,1,PP,1-4,WP,,15
1/27/2020,2020,1,27,1,PP,1-4,WP,,13
1/27/2020,2020,1,27,1,PP,1-4,WP,,8
1/27/2020,2020,1,27,1,PP,1-4,WP,,12
1/27/2020,2020,1,27,1,PP,1-4,WP,,23
1/27/2020,2020,1,27,1,PP,1-4,1,D,20
1/27/2020,2020,1,27,1,PP,1-4,1,D,16
1/27/2020,2020,1,27,1,PP,1-4,1,D,11
1/27/2020,2020,1,27,1,PP,1-4,4,C,68
1/27/2020,2020,1,27,1,PP,1-4,4,C,44
1/27/2020,2020,1,27,1,PP,1-4,4,C,65
1/27/2020,2020,1,27,1,PP,1-4,4,D,14
1/27/2020,2020,1,27,1,PP,1-4,4,D,19
1/27/2020,2020,1,27,3,PP,1-4,1,B,19
1/27/2020,2020,1,27,3,PP,1-4,2,B,29
1/27/2020,2020,1,27,4,PP,1-4,3,A,16
1/27/2020,2020,1,27,4,PP,1-4,3,A,17
1/27/2020,2020,1,27,4,PP,1-4,3,A,8
1/27/2020,2020,1,27,4,PP,1-4,3,A,19
1/27/2020,2020,1,27,4,PP,1-4,3,C,14
1/27/2020,2020,1,27,4,PP,1-4,3,C,18
1/27/2020,2020,1,27,4,PP,1-4,3,C,14
1/27/2020,2020,1,27,4,PP,1-4,3,D,17
1/27/2020,2020,1,27,5,VT,5-9,1,D,9
1/27/2020,2020,1,27,5,VT,5-9,5,C,10
1/31/2020,2020,1,31,1,PP,1-4,1,D,10
1/31/2020,2020,1,1,1,PP,1-4,1,D,15
1/31/2020,2020,1,1,1,PP,1-4,1,D,9
1/31/2020,2020,1,1,1,PP,1-4,1,D,21
1/31/2020,2020,1,1,1,PP,1-4,1,D,13
1/31/2020,2020,1,1,1,PP,1-4,1,D,6
1/31/2020,2020,1,1,1,PP,1-4,WP,,17
1/31/2020,2020,1,1,1,PP,1-4,WP,,15
1/31/2020,2020,1,1,1,PP,1-4,WP,,23
1/31/2020,2020,1,1,2,PP,1-4,,,68
