Block_oldname,block_newname,Date,Day,Month,Year,Total_Num_Plants,Total_Num_seeds,Seed_Wgt_g,Flower_Wgt_g
PP2,10-13,9/25/2020,25,9,2020,4,48,0.545,
PP2,10-13,10/9/2020,10,9,2020,8,202,3.265,
PP2,10-13,10/16/2020,16,10,2020,4,549,10.69,
PP2,10-13,10/22/2020,22,10,2020,3,208,4.43,
PP2,10-13,11/3/2020,2,11,2020,4,225,3.609,
PP2,10-13,11/13/2020,13,11,2020,4,284,4.39,
PP2,10-13,11/16/2020,16,11,2020,4,267,7.277,
PP2,10-13,11/23/2020,23,11,2020,3,272,4.414,
PP2,10-13,12/1/2020,1,12,2020,2,69,1.172,
PP2,10-13,12/7/2020,7,12,2020,3,134,2.315,
PP2,10-13,12/14/2020,14,12,2020,1,3,0.076,
PP2,10-13,12/21/2020,21,12,2020,1,51,1.065,58
