Date,Year,Month,Day,Group,Block_oldname,block_newname,M,F,V
3/20/2020,2020,3,20,1,PP2,10-13,2,1,13
3/20/2020,2020,3,20,2,PP2,10-13,>100,>30,>20
3/20/2020,2020,3,20,1,PPP8,14-21,3,4,7
3/20/2020,2020,3,20,2,PPP8,14-21,5,1,3
3/26/2020,2020,3,26,1,PP2,10-13,2,1,13
3/26/2020,2020,3,26,2,PP2,10-13,>100,>30,>20
3/26/2020,2020,3,26,1,PPP8,14-21,3,4,7
3/26/2020,2020,3,26,2,PPP8,14-21,5,1,3
8/13/2020,2020,8,13,,PP,1-4,0,0,24
8/13/2020,2020,8,13,,VT,5-9,0,0,1
8/13/2020,2020,8,13,,PP2,10-13,3,5,75
8/13/2020,2020,8,13,,PPP8,14-21,0,0,24
9/11/2020,2020,9,11,,PP,1-4,3,2,16
9/11/2020,2020,9,11,,PP2,10-13,5,48,5
9/11/2020,2020,9,11,,PP8,14-21,3,3,20
9/25/2020,2020,9,25,,PP2,10-13,2,47,0
9/25/2020,2020,9,25,,PP,1-4,5,4,12
10/9/2020,2020,10,9,,PP2,10-13,2,41,0
10/9/2020,2020,10,9,,PP,1-4,3,5,8
10/16/2020,2020,10,16,,PP2,10-13,0,31,0
10/22/2020,2020,10,22,,PP,1-4,3,10,0
11/3/2020,2020,11,3,,PP2,10-13,0,18,0
11/3/2020,2020,11,3,,PP,1-4,0,10,0
11/16/2020,2020,11,16,,PP2,10-13,0,10,0
11/16/2020,2020,11,16,,PP,1-4,0,8,0
11/23/2020,2020,11,23,,PP2,10-13,0,8,0
11/23/2020,2020,11,23,,PP,1-4,0,7,0
12/1/2020,2020,12,1,,PP2,10-13,0,5,0
12/1/2020,2020,12,1,,PP,1-4,0,5,0
12/7/2020,2020,12,7,,PP,1-4,0,4,0
12/7/2020,2020,12,7,,PP2,10-13,0,2,0
12/14/2020,2020,12,14,,PP,1-4,0,2,0
12/14/2020,2020,12,14,,PP2,10-13,0,1,0
12/21/2020,2020,12,21,,PP2,10-13,0,0,0
12/21/2020,2020,12,21,,PP,1-4,0,0,0
