Block,Sub_Plot,Plot_number,Disturbance,Nutrients,Type,Date,Day,Month,Year,Height_cm,Shatter_score
3,1,25,D1,N0,Han-NE,9/25/2020,25,9,2020,29,3
3,1,25,D1,N0,Han-NE,9/25/2020,25,9,2020,32,0
3,3,27,D1,N1,Han-NE,9/25/2020,25,9,2020,36,1
3,3,27,D1,N1,Han-NE,9/25/2020,25,9,2020,32,1
3,3,27,D1,N1,Han-NE,9/25/2020,25,9,2020,39,0
3,3,27,D1,N1,Han-NE,9/25/2020,25,9,2020,26,3
3,11,35,D1,N1,Helena,9/25/2020,25,9,2020,54,2
3,11,35,D1,N1,Helena,9/25/2020,25,9,2020,40,0
3,11,35,D1,N1,Helena,9/25/2020,25,9,2020,45,3
4,8,44,D1,N1,Han-NE,9/25/2020,25,9,2020,49,4
4,9,45,D1,N0,CFX-1,9/25/2020,25,9,2020,47,4
4,9,45,D1,N0,CFX-1,9/25/2020,25,9,2020,54,0
4,9,45,D1,N0,CFX-1,9/25/2020,25,9,2020,52,1
8,3,87,D1,N1,Han-NE,9/25/2020,25,9,2020,50,2
8,3,87,D1,N1,Han-NE,9/25/2020,25,9,2020,39,2
1,4,4,D1,N0,Helena,9/30/2020,1,10,2020,28,0
1,4,4,D1,N0,Helena,10/1/2020,1,10,2020,34,1
2,11,23,D1,N0,Han-NE,10/1/2020,1,10,2020,30,0
3,1,25,D1,N0,Han-NE,10/1/2020,1,10,2020,15,0
3,1,25,D1,N0,Han-NE,10/1/2020,1,10,2020,33,1
3,1,25,D1,N0,Han-NE,10/1/2020,1,10,2020,39,0
3,1,25,D1,N0,Han-NE,10/1/2020,1,10,2020,28,0
3,3,27,D1,N1,Han-NE,10/1/2020,1,10,2020,46,2
3,4,28,D1,N0,Helena,10/1/2020,1,10,2020,30,0
3,4,28,D1,N0,Helena,10/1/2020,1,10,2020,36,1
3,11,35,D1,N1,Helena,10/1/2020,1,10,2020,51,2
3,11,35,D1,N1,Helena,10/1/2020,1,10,2020,57,3
5,4,52,D1,N1,Han-NE,10/1/2020,1,10,2020,44,3
8,6,90,D1,N0,Han-NE,10/1/2020,1,10,2020,43,0
3,11,35,D1,N1,Helena,10/16/2020,16,10,2020,67,2
3,11,35,D1,N1,Helena,10/22/2020,22,10,2020,66,1
3,11,35,D1,N1,Helena,10/22/2020,22,10,2020,55,0
3,11,35,D1,N1,Helena,10/22/2020,22,10,2020,73,2
8,3,87,D1,N1,Han-NE,10/22/2020,22,10,2020,49,3
8,6,90,D1,N0,Han-NE,10/22/2020,22,10,2020,58,0
8,6,90,D1,N0,Han-NE,10/22/2020,22,10,2020,56,2
