Plot_Num,Disturbance,Nutrients,Type,Block,Sub_Plot,Date,Day,Month,Year,Height_cm,Sex
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,16,V
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,28,M
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,17,V
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,13,V
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,0,
1,D1,N1,Han-NE,B1,1,8/7/2020,8,7,2020,0,
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,12,V
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,23,M
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,18,M
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,14,V
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,12,V
2,D1,N1,Helena,B1,2,8/7/2020,8,7,2020,17,V
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
3,D0,N0,CFX-1,B1,3,8/7/2020,8,7,2020,0,
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,14,V
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,15,F
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,8,V
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,17,M
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,15,M
4,D1,N0,Helena,B1,4,8/7/2020,8,7,2020,7,V
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
5,D0,N1,CFX-1,B1,5,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
6,D0,N0,Helena,B1,6,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
7,D1,N0,Han-NE,B1,7,8/7/2020,8,7,2020,0,
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,8,V
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,0,
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,0,
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,0,
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,0,
8,D0,N1,Han-NE,B1,8,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
9,D0,N1,Helena,B1,9,8/7/2020,8,7,2020,0,
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,10,V
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,11,V
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,9,V
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,20,M
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,14,V
10,D1,N0,CFX-1,B1,10,8/7/2020,8,7,2020,21,M
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
11,D0,N0,Han-NE,B1,11,8/7/2020,8,7,2020,0,
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,9,F
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,7,V
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,0,
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,0,
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,0,
12,D1,N1,CFX-1,B1,12,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
13,D1,N0,CFX-1,B2,1,8/7/2020,8,7,2020,0,
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,14,V
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,0,
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,0,
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,0,
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,0,
14,D0,N0,Han-NE,B2,2,8/7/2020,8,7,2020,0,
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,16,F
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,17,F
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,9,V
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,11,V
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,30,M
15,D1,N1,Helena,B2,3,8/7/2020,8,7,2020,16,V
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,18,F
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,16,F
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,7,F
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,0,
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,0,
16,D1,N1,CFX-1,B2,4,8/7/2020,8,7,2020,0,
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,7,V
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,0,
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,0,
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,0,
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,0,
17,D0,N1,CFX-1,B2,5,8/7/2020,8,7,2020,0,
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,36,M
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,19,V
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,26,V
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,27,M
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,20,V
18,D1,N1,Han-NE,B2,6,8/7/2020,8,7,2020,12,V
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
19,D0,N0,Helena,B2,7,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
20,D0,N1,Helena,B2,8,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
21,D0,N1,Han-NE,B2,9,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
22,D0,N0,CFX-1,B2,10,8/7/2020,8,7,2020,0,
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,13,V
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,17,M
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,13,V
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,18,V
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,37,M
23,D1,N0,Han-NE,B2,11,8/7/2020,8,7,2020,12,V
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
24,D1,N0,Helena,B2,12,8/7/2020,8,7,2020,0,
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,17,V
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,12,V
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,14,V
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,8,V
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,10,V
25,D1,N0,Han-NE,B3,1,8/7/2020,8,7,2020,7,V
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
26,D0,N1,Helena,B3,2,8/7/2020,8,7,2020,0,
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,41,M
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,18,V
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,30,M
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,14,V
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,15,V
27,D1,N1,Han-NE,B3,3,8/7/2020,8,7,2020,12,V
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,10,V
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,8,V
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,11,V
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,16,M
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,15,M
28,D1,N0,Helena,B3,4,8/7/2020,8,7,2020,8,V
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
29,D0,N1,Han-NE,B3,5,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
30,D0,N1,CFX-1,B3,6,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
31,D0,N0,Han-NE,B3,7,8/7/2020,8,7,2020,0,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,0,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,0,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,6,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,5,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,10,
32,D1,N1,CFX-1,B3,8,8/7/2020,8,7,2020,7,V
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,10,V
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,8,M
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,12,M
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,22,V
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,10,V
33,D1,N0,CFX-1,B3,9,8/7/2020,8,7,2020,12,V
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
34,D0,N0,Helena,B3,10,8/7/2020,8,7,2020,0,
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,26,V
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,22,V
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,20,V
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,22,M
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,21,V
35,D1,N1,Helena,B3,11,8/7/2020,8,7,2020,18,V
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
36,D0,N0,CFX-1,B3,12,8/7/2020,8,7,2020,0,
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,8,F
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,0,
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,0,
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,0,
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,0,
37,D1,N1,CFX-1,B4,1,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
38,D0,N0,Helena,B4,2,8/7/2020,8,7,2020,0,
39,D0,N1,Helena,B4,3,8/7/2020,8,7,2020,0,
39,D0,N1,Helena,B4,3,8/7/2020,8,7,2020,0,
39,D0,N1,Helena,B4,3,8/7/2020,8,7,2020,0,
39,D0,N1,Helena,B4,3,8/7/2020,8,7,2020,0,
39,D0,N1,Helena,B4,3,8/7/2020,8,7,2020,0,
