Year,Month,Day,Block,Row,Column,NumberOfPlants,FreshWeight_kg,MassOfLeaves_g,SampleFreshWeight_g,SampleDryWeight_g
2019,8,29,1,1,C,30,4.1,591,336,
2019,8,29,1,1,A,33,4,930,557,236
2019,8,29,1,1,B,88,6,587,287,137
2019,9,5,2,3,A,50,5,984,582,245
2019,9,5,2,4,B,30,2.25,440,502,
2019,9,5,2,4,C,36,1.75,379,233,103
2019,9,5,3,1,B,61,2.6,488,442,182
2019,9,5,3,1,C,26,1.3,29,400,172
2019,9,5,3,2,B,33,3,294,344,
2019,9,5,4,3,C,29,5.2,693,926,402
2019,9,5,4,3,D,16,2.5,313,647,
2019,9,5,4,4,D,53,2.4,350,353,170
