Year,Month,Day,Block,Row,Column,Rep,Quantity
2019,May,12,1,1,A,1,18
2019,May,12,1,1,A,2,10
2019,May,12,1,1,B,1,22
2019,May,12,1,1,B,2,29
2019,May,12,1,1,C,1,10
2019,May,12,1,1,C,2,13
2019,May,12,1,1,D,1,12
2019,May,12,1,1,D,2,
2019,May,12,1,2,A,1,9
2019,May,12,1,2,A,2,
2019,May,12,1,2,B,1,16
2019,May,12,1,2,B,2,15
2019,May,12,1,2,C,1,4
2019,May,12,1,2,C,2,5
2019,May,12,1,2,D,1,16
2019,May,12,1,2,D,2,15
2019,May,12,2,3,A,1,11
2019,May,12,2,3,A,2,11
2019,May,12,2,3,B,1,10
2019,May,12,2,3,B,2,7
2019,May,12,2,3,C,1,16
2019,May,12,2,3,C,2,13
2019,May,12,2,3,D,1,7
2019,May,12,2,3,D,2,
2019,May,12,2,4,A,1,8
2019,May,12,2,4,A,2,7
2019,May,12,2,4,B,1,15
2019,May,12,2,4,B,2,15
2019,May,12,2,4,C,1,15
2019,May,12,2,4,C,2,21
2019,May,12,2,4,D,1,13
2019,May,12,2,4,D,2,
2019,May,12,3,1,A,1,12
2019,May,12,3,1,A,2,13
2019,May,12,3,1,B,1,15
2019,May,12,3,1,B,2,19
2019,May,12,3,1,C,1,14
2019,May,12,3,1,C,2,15
2019,May,12,3,1,D,1,12
2019,May,12,3,1,D,2,23
2019,May,12,3,2,A,1,
2019,May,12,3,2,A,2,
2019,May,12,3,2,B,1,7
2019,May,12,3,2,B,2,7
2019,May,12,3,2,C,1,3
2019,May,12,3,2,C,2,5
2019,May,12,3,2,D,1,5
2019,May,12,3,2,D,2,3
2019,May,12,4,3,A,1,5
2019,May,12,4,3,A,2,
2019,May,12,4,3,B,1,16
2019,May,12,4,3,B,2,8
2019,May,12,4,3,C,1,6
2019,May,12,4,3,C,2,10
2019,May,12,4,3,D,1,9
2019,May,12,4,3,D,2,9
2019,May,12,4,4,A,1,14
2019,May,12,4,4,A,2,15
2019,May,12,4,4,B,1,11
2019,May,12,4,4,B,2,12
2019,May,12,4,4,C,1,11
2019,May,12,4,4,C,2,
2019,May,12,4,4,D,1,17
2019,May,12,4,4,D,2,23
2019,May,24,1,1,A,1,24
2019,May,24,1,1,A,2,17
2019,May,24,1,1,B,1,17
2019,May,24,1,1,B,2,19
2019,May,24,1,1,C,1,10
2019,May,24,1,1,C,2,10
2019,May,24,1,1,D,1,10
2019,May,24,1,1,D,2,
2019,May,24,1,2,A,1,5
2019,May,24,1,2,A,2,
2019,May,24,1,2,B,1,16
2019,May,24,1,2,B,2,6
2019,May,24,1,2,C,1,4
2019,May,24,1,2,C,2,3
2019,May,24,1,2,D,1,31
2019,May,24,1,2,D,2,15
2019,May,24,2,3,A,1,13
2019,May,24,2,3,A,2,8
2019,May,24,2,3,B,1,14
2019,May,24,2,3,B,2,11
2019,May,24,2,3,C,1,21
2019,May,24,2,3,C,2,13
2019,May,24,2,3,D,1,7
2019,May,24,2,3,D,2,
