Year,Month,Day,Block,Row,Column,StandCount
2019,7,7,1,1,A,16
2019,7,7,1,1,B,74
2019,7,7,1,1,C,33
2019,7,7,1,1,D,0
2019,7,7,1,2,A,4
2019,7,7,1,2,B,105
2019,7,7,1,2,C,25
2019,7,7,1,2,D,75
2019,7,7,2,3,A,36
2019,7,7,2,3,B,72
2019,7,7,2,3,C,66
2019,7,7,2,3,D,4
2019,7,7,2,4,A,28
2019,7,7,2,4,B,47
2019,7,7,2,4,C,93
2019,7,7,2,4,D,2
2019,7,7,3,1,A,100
2019,7,7,3,1,B,98
2019,7,7,3,1,C,54
2019,7,7,3,1,D,27
2019,7,7,3,2,A,2
2019,7,7,3,2,B,46
2019,7,7,3,2,C,0
2019,7,7,3,2,D,2
2019,7,7,4,3,A,5
2019,7,7,4,3,B,24
2019,7,7,4,3,C,34
2019,7,7,4,3,D,47
2019,7,7,4,4,A,44
2019,7,7,4,4,B,48
2019,7,7,4,4,C,2
2019,7,7,4,4,D,110
