Year,Month,Day,Block,Row,Column,Rep,Height_cm,Sex
2019,8,21,10,1,A,1,15,V
2019,8,21,10,1,A,2,19,V
2019,8,21,10,1,A,3,20,V
2019,8,21,10,1,A,4,16,V
2019,8,21,10,1,A,5,24,V
2019,8,21,10,1,A,6,20,V
2019,8,21,10,1,A,7,27,V
2019,8,21,10,1,A,8,26,V
2019,8,21,10,1,A,9,25,V
2019,8,21,10,1,A,10,15,V
2019,8,21,10,1,B,1,10,V
2019,8,21,10,1,B,2,10,V
2019,8,21,10,1,B,3,11,V
2019,8,21,10,1,B,4,16,V
2019,8,21,10,1,B,5,10,V
2019,8,21,10,1,B,6,20,V
2019,8,21,10,1,B,7,13,V
2019,8,21,10,1,B,8,15,V
2019,8,21,10,1,B,9,13,V
2019,8,21,10,1,B,10,12,V
2019,8,21,10,1,C,1,11,V
2019,8,21,10,1,C,2,13,V
2019,8,21,10,1,C,3,10,V
2019,8,21,10,1,C,4,10,V
2019,8,21,10,1,C,5,8,V
2019,8,21,10,1,C,6,11,V
2019,8,21,10,1,C,7,7,V
2019,8,21,10,1,C,8,9,V
2019,8,21,10,1,C,9,12,V
2019,8,21,10,1,C,10,12,V
2019,8,21,10,1,D,1,10,V
2019,8,21,10,1,D,2,7,V
2019,8,21,10,1,D,3,9,V
2019,8,21,10,1,D,4,,
2019,8,21,10,1,D,5,,
2019,8,21,10,1,D,6,,
2019,8,21,10,1,D,7,,
2019,8,21,10,1,D,8,,
2019,8,21,10,1,D,9,,
2019,8,21,10,1,D,10,,
2019,8,21,10,2,A,1,14,V
2019,8,21,10,2,A,2,10,V
2019,8,21,10,2,A,3,11,V
2019,8,21,10,2,A,4,17,V
2019,8,21,10,2,A,5,14,V
2019,8,21,10,2,A,6,11,V
2019,8,21,10,2,A,7,13,V
2019,8,21,10,2,A,8,,
2019,8,21,10,2,A,9,,
2019,8,21,10,2,A,10,,
2019,8,21,10,2,B,1,30,M
2019,8,21,10,2,B,2,17,F
2019,8,21,10,2,B,3,27,M
2019,8,21,10,2,B,4,29,F
2019,8,21,10,2,B,5,24,F
2019,8,21,10,2,B,6,36,M
2019,8,21,10,2,B,7,23,F
2019,8,21,10,2,B,8,45,M
2019,8,21,10,2,B,9,25,F
2019,8,21,10,2,B,10,30,M
2019,8,21,10,2,C,1,16,F
2019,8,21,10,2,C,2,20,F
2019,8,21,10,2,C,3,22,F
2019,8,21,10,2,C,4,23,F
2019,8,21,10,2,C,5,12,F
2019,8,21,10,2,C,6,21,M
2019,8,21,10,2,C,7,19,F
2019,8,21,10,2,C,8,13,F
2019,8,21,10,2,C,9,19,F
2019,8,21,10,2,C,10,22,M
2019,8,21,10,2,D,1,12,V
2019,8,21,10,2,D,2,12,V
2019,8,21,10,2,D,3,32,M
2019,8,21,10,2,D,4,35,M
2019,8,21,10,2,D,5,13,V
2019,8,21,10,2,D,6,13,V
2019,8,21,10,2,D,7,23,M
2019,8,21,10,2,D,8,27,M
2019,8,21,10,2,D,9,26,M
2019,8,21,10,2,D,10,9,V
2019,8,21,11,3,A,1,13,V
2019,8,21,11,3,A,2,16,V
2019,8,21,11,3,A,3,20,V
2019,8,21,11,3,A,4,19,V
2019,8,21,11,3,A,5,12,V
2019,8,21,11,3,A,6,23,V
2019,8,21,11,3,A,7,22,V
2019,8,21,11,3,A,8,16,V
2019,8,21,11,3,A,9,22,V
2019,8,21,11,3,A,10,17,V
2019,8,21,11,3,B,1,33,M
2019,8,21,11,3,B,2,29,M
2019,8,21,11,3,B,3,31,M
2019,8,21,11,3,B,4,29,M
2019,8,21,11,3,B,5,14,F
2019,8,21,11,3,B,6,17,F
2019,8,21,11,3,B,7,13,V
2019,8,21,11,3,B,8,17,M
2019,8,21,11,3,B,9,16,F
2019,8,21,11,3,B,10,13,F
2019,8,21,11,3,C,1,24,F
2019,8,21,11,3,C,2,26,F
2019,8,21,11,3,C,3,27,M
2019,8,21,11,3,C,4,29,M
2019,8,21,11,3,C,5,20,F
2019,8,21,11,3,C,6,32,M
2019,8,21,11,3,C,7,34,M
2019,8,21,11,3,C,8,30,M
2019,8,21,11,3,C,9,17,F
2019,8,21,11,3,C,10,12,F
2019,8,21,11,3,D,1,18,V
2019,8,21,11,3,D,2,17,V
2019,8,21,11,3,D,3,9,V
2019,8,21,11,3,D,4,13,V
2019,8,21,11,3,D,5,8,V
2019,8,21,11,3,D,6,,
2019,8,21,11,3,D,7,,
2019,8,21,11,3,D,8,,
2019,8,21,11,3,D,9,,
2019,8,21,11,3,D,10,,
2019,8,21,11,4,A,1,40,C
2019,8,21,11,4,A,2,41,M
2019,8,21,11,4,A,3,29,F
2019,8,21,11,4,A,4,31,M
2019,8,21,11,4,A,5,20,F
2019,8,21,11,4,A,6,18,F
2019,8,21,11,4,A,7,16,F
2019,8,21,11,4,A,8,17,C
2019,8,21,11,4,A,9,26,C
2019,8,21,11,4,A,10,25,F
2019,8,21,11,4,B,1,30,V
2019,8,21,11,4,B,2,22,V
2019,8,21,11,4,B,3,26,V
2019,8,21,11,4,B,4,10,V
2019,8,21,11,4,B,5,19,V
2019,8,21,11,4,B,6,16,V
2019,8,21,11,4,B,7,24,V
2019,8,21,11,4,B,8,19,V
2019,8,21,11,4,B,9,22,V
2019,8,21,11,4,B,10,27,V
2019,8,21,11,4,C,1,30,V
2019,8,21,11,4,C,2,16,V
2019,8,21,11,4,C,3,27,V
2019,8,21,11,4,C,4,22,V
2019,8,21,11,4,C,5,20,V
2019,8,21,11,4,C,6,23,V
2019,8,21,11,4,C,7,19,V
2019,8,21,11,4,C,8,16,V
2019,8,21,11,4,C,9,15,V
2019,8,21,11,4,C,10,17,V
2019,8,21,11,4,D,1,14,V
2019,8,21,11,4,D,2,9,V
2019,8,21,11,4,D,3,8,V
2019,8,21,11,4,D,4,,
2019,8,21,11,4,D,5,,
2019,8,21,11,4,D,6,,
2019,8,21,11,4,D,7,,
2019,8,21,11,4,D,8,,
2019,8,21,11,4,D,9,,
2019,8,21,11,4,D,10,,
2019,8,21,12,1,A,1,13,V
2019,8,21,12,1,A,2,13,V
2019,8,21,12,1,A,3,15,F
2019,8,21,12,1,A,4,17,V
2019,8,21,12,1,A,5,25,M
2019,8,21,12,1,A,6,27,M
2019,8,21,12,1,A,7,35,M
2019,8,21,12,1,A,8,30,M
2019,8,21,12,1,A,9,36,M
2019,8,21,12,1,A,10,11,V
2019,8,21,12,1,B,1,17,V
2019,8,21,12,1,B,2,18,V
2019,8,21,12,1,B,3,21,V
2019,8,21,12,1,B,4,19,V
2019,8,21,12,1,B,5,20,V
2019,8,21,12,1,B,6,27,V
2019,8,21,12,1,B,7,26,V
2019,8,21,12,1,B,8,24,V
2019,8,21,12,1,B,9,28,V
2019,8,21,12,1,B,10,20,V
2019,8,21,12,1,C,1,16,V
2019,8,21,12,1,C,2,15,V
2019,8,21,12,1,C,3,13,V
2019,8,21,12,1,C,4,17,V
2019,8,21,12,1,C,5,17,V
2019,8,21,12,1,C,6,13,V
2019,8,21,12,1,C,7,19,V
2019,8,21,12,1,C,8,21,V
2019,8,21,12,1,C,9,17,V
2019,8,21,12,1,C,10,22,V
2019,8,21,12,1,D,1,,
2019,8,21,12,1,D,2,,
2019,8,21,12,1,D,3,,
2019,8,21,12,1,D,4,,
2019,8,21,12,1,D,5,,
2019,8,21,12,1,D,6,,
2019,8,21,12,1,D,7,,
2019,8,21,12,1,D,8,,
2019,8,21,12,1,D,9,,
2019,8,21,12,1,D,10,,
2019,8,21,12,2,A,1,12,V
2019,8,21,12,2,A,2,8,V
2019,8,21,12,2,A,3,6,V
2019,8,21,12,2,A,4,11,V
2019,8,21,12,2,A,5,,
2019,8,21,12,2,A,6,,
2019,8,21,12,2,A,7,,
2019,8,21,12,2,A,8,,
2019,8,21,12,2,A,9,,
2019,8,21,12,2,A,10,,
2019,8,21,12,2,B,1,29,V
2019,8,21,12,2,B,2,22,V
2019,8,21,12,2,B,3,13,V
2019,8,21,12,2,B,4,26,V
2019,8,21,12,2,B,5,18,V
2019,8,21,12,2,B,6,20,V
2019,8,21,12,2,B,7,21,V
2019,8,21,12,2,B,8,31,V
2019,8,21,12,2,B,9,21,V
2019,8,21,12,2,B,10,18,V
2019,8,21,12,2,C,1,16,V
2019,8,21,12,2,C,2,16,V
2019,8,21,12,2,C,3,14,V
2019,8,21,12,2,C,4,12,V
2019,8,21,12,2,C,5,13,V
2019,8,21,12,2,C,6,12,V
2019,8,21,12,2,C,7,15,V
2019,8,21,12,2,C,8,,
2019,8,21,12,2,C,9,,
2019,8,21,12,2,C,10,,
2019,8,21,12,2,D,1,32,F
2019,8,21,12,2,D,2,32,F
2019,8,21,12,2,D,3,29,F
2019,8,21,12,2,D,4,40,M
2019,8,21,12,2,D,5,38,M
2019,8,21,12,2,D,6,30,F
2019,8,21,12,2,D,7,29,F
