Year,Month,Day,Block,Row,Column,Male_perc,Female_perc,Mono_perc,Veg_perc
2019,10,15,14,1,A,,,,
2019,10,15,14,1,B,,,,
2019,10,15,14,1,C,50,50,0,0
2019,10,15,14,1,D,0,100,0,0
2019,10,15,14,2,A,40,0,0,0
2019,10,15,14,2,B,,,,
2019,10,15,14,2,C,0,100,0,0
2019,10,15,14,2,D,,,,
2019,10,15,15,3,A,,,,
2019,10,15,15,3,B,,,,
2019,10,15,15,3,C,0,100,0,0
2019,10,15,15,3,D,,,,
2019,10,15,15,4,A,0,100,0,0
2019,10,15,15,4,B,0,100,0,0
2019,10,15,15,4,C,50,50,0,0
2019,10,15,15,4,D,50,50,0,0
2019,10,15,16,1,A,,,,
2019,10,15,16,1,B,0,100,0,0
2019,10,15,16,1,C,0,100,0,0
2019,10,15,16,1,D,50,50,0,0
2019,10,15,16,2,A,50,40,0,10
2019,10,15,16,2,B,0,100,0,0
2019,10,15,16,2,C,,,,
2019,10,15,16,2,D,,,,
2019,10,15,17,3,A,50,40,0,10
2019,10,15,17,3,B,0,100,0,0
2019,10,15,17,3,C,,,,
2019,10,15,17,3,D,50,50,0,0
2019,10,15,17,4,A,0,100,0,0
2019,10,15,17,4,B,,,,
2019,10,15,17,4,C,0,100,0,0
2019,10,15,17,4,D,0,100,0,0
