Experiment,Variety,Column,Row,Block
PilotPlot1,Yuma-2,A,1,1
PilotPlot1,Puma-3,B,1,1
PilotPlot1,Bama,C,1,1
PilotPlot1,BerryBlossom,D,1,1
PilotPlot1,CherryBlossomxTI,A,2,1
PilotPlot1,Eletta,B,2,1
PilotPlot1,Tygra,C,2,1
PilotPlot1,CarmagnolaSelezionata,D,2,1
PilotPlot1,Yuma-2,A,3,2
PilotPlot1,Eletta,B,3,2
PilotPlot1,CarmagnolaSelezionata,C,3,2
PilotPlot1,CherryBlossomxTI,D,3,2
PilotPlot1,Tygra,A,4,2
PilotPlot1,Bama,B,4,2
PilotPlot1,Puma-3,C,4,2
PilotPlot1,BerryBlossom,D,4,2
PilotPlot1,Eletta,A,1,3
PilotPlot1,Puma-3,B,1,3
PilotPlot1,Yuma-2,C,1,3
PilotPlot1,CarmagnolaSelezionata,D,1,3
PilotPlot1,BerryBlossom,A,2,3
PilotPlot1,Bama,B,2,3
PilotPlot1,CherryBlossomxTI,C,2,3
PilotPlot1,Tygra,D,2,3
PilotPlot1,CherryBlossomxTI,A,3,4
PilotPlot1,Tygra,B,3,4
PilotPlot1,Yuma-2,C,3,4
PilotPlot1,Bama,D,3,4
PilotPlot1,CarmagnolaSelezionata,A,4,4
PilotPlot1,Eletta,B,4,4
PilotPlot1,BerryBlossom,C,4,4
PilotPlot1,Puma-3,D,4,4
VarietyTrial,Helena,A,1,5
VarietyTrial,Canda,B,1,5
VarietyTrial,CFX-1,C,1,5
VarietyTrial,Si-1,D,1,5
VarietyTrial,CarmagnolaSelezionata,A,2,5
VarietyTrial,Joey,B,2,5
VarietyTrial,CherryBlossomxTI,C,2,5
VarietyTrial,BerryBlossom,D,2,5
VarietyTrial,HanFNQ,A,3,5
VarietyTrial,HanFN-H,B,3,5
VarietyTrial,Carmagnola,C,3,5
VarietyTrial,HanNW,D,3,5
VarietyTrial,Yuma-2,A,4,5
VarietyTrial,CRS-1,B,4,5
VarietyTrial,HanNE,C,4,5
VarietyTrial,Tygra,D,4,5
VarietyTrial,Yuma,A,5,5
VarietyTrial,CFX-2,B,5,5
VarietyTrial,Bama,C,5,5
VarietyTrial,HanNE,D,5,5
VarietyTrial,CFX-2,A,1,6
VarietyTrial,CherryBlossomxTI,B,1,6
VarietyTrial,Tygra,C,1,6
VarietyTrial,HanNW,D,1,6
VarietyTrial,HanNE,A,2,6
VarietyTrial,Joey,B,2,6
VarietyTrial,Si-1,C,2,6
VarietyTrial,BerryBlossom,D,2,6
VarietyTrial,HanFNQ,A,3,6
VarietyTrial,Canda,B,3,6
VarietyTrial,Bama,C,3,6
VarietyTrial,Helena,D,3,6
