Year,Month,Day,Block,Row,Column,Rep,Height_mm,Diameter_cm,Sex
2019,9,12,9,1,A,1,238,13.4,M
2019,9,12,9,1,A,2,200,9.5,V
2019,9,12,9,1,A,3,205,14.6,V
2019,9,12,9,1,A,4,239,9.1,M
2019,9,12,9,1,A,5,173,5.3,M
2019,9,12,9,1,A,6,207,12,V
2019,9,12,9,1,A,7,207,11.6,V
2019,9,12,9,1,A,8,195,9.9,V
2019,9,12,9,1,A,9,276,14.3,M
2019,9,12,9,1,A,10,222,7.7,M
2019,9,12,9,2,D,1,250,8.9,M
2019,9,12,9,2,D,2,158,9.2,F
2019,9,12,9,2,D,3,225,9.3,M
2019,9,12,9,2,D,4,161,8.4,F
2019,9,12,9,2,D,5,216,9,M
2019,9,12,9,2,D,6,169,10.4,V
2019,9,12,9,2,D,7,315,19.5,M
2019,9,12,9,2,D,8,186,9.2,F
2019,9,12,9,2,D,9,300,17.3,M
2019,9,12,9,2,D,10,221,12.3,V
2019,9,12,9,3,C,1,210,8.6,M
2019,9,12,9,3,C,2,256,13.7,V
2019,9,12,9,3,C,3,271,12.1,M
2019,9,12,9,3,C,4,272,11.9,M
2019,9,12,9,3,C,5,215,8.8,M
2019,9,12,9,3,C,6,203,12.2,V
2019,9,12,9,3,C,7,212,10,M
2019,9,12,9,3,C,8,270,16.8,V
2019,9,12,9,3,C,9,246,11.3,M
2019,9,12,9,3,C,10,233,11.2,M
2019,9,12,9,4,B,1,196,12.6,V
2019,9,12,9,4,B,2,148,9.6,V
2019,9,12,9,4,B,3,185,11.1,V
2019,9,12,9,4,B,4,151,8.7,V
2019,9,12,9,4,B,5,120,6.3,V
2019,9,12,9,4,B,6,259,11.2,M
2019,9,12,9,4,B,7,154,8,V
2019,9,12,9,4,B,8,145,8.1,V
2019,9,12,9,4,B,9,146,7.4,F
2019,9,12,9,4,B,10,158,8.4,F
2019,9,12,9,1,B,1,209,8.5,M
2019,9,12,9,1,B,2,205,8.5,M
2019,9,12,9,1,B,3,167,8,V
2019,9,12,9,1,B,4,149,7.9,M
2019,9,12,9,1,B,5,116,5.6,V
2019,9,12,9,1,B,6,129,6.2,V
2019,9,12,9,1,B,7,156,7.2,V
2019,9,12,9,1,B,8,139,6.4,V
2019,9,12,9,1,B,9,236,11.3,M
2019,9,12,9,1,B,10,235,11.9,M
2019,9,12,9,2,B,1,132,6.5,V
2019,9,12,9,2,B,2,175,6.3,M
2019,9,12,9,2,B,3,124,7,V
2019,9,12,9,2,B,4,209,10.8,V
2019,9,12,9,2,B,5,206,9.3,M
2019,9,12,9,2,B,6,180,8.9,M
2019,9,12,9,2,B,7,217,9.9,M
2019,9,12,9,2,B,8,142,6.4,V
2019,9,12,9,2,B,9,175,8,M
2019,9,12,9,2,B,10,168,8.9,V
2019,9,12,9,3,D,1,162,5.7,M
2019,9,12,9,3,D,2,206,7.6,M
2019,9,12,9,3,D,3,154,7.1,M
2019,9,12,9,3,D,4,145,8.5,V
2019,9,12,9,3,D,5,170,7.1,M
2019,9,12,9,3,D,6,110,5.7,V
2019,9,12,9,3,D,7,133,8.1,V
2019,9,12,9,3,D,8,112,5.3,V
2019,9,12,9,3,D,9,119,4.6,M
2019,9,12,9,3,D,10,166,10,V
2019,9,12,9,4,C,1,161,10.7,V
2019,9,12,9,4,C,2,243,10.2,M
2019,9,12,9,4,C,3,201,10.2,V
2019,9,12,9,4,C,4,263,12.7,M
2019,9,12,9,4,C,5,249,14.4,V
2019,9,12,9,4,C,6,220,10.9,V
2019,9,12,9,4,C,7,255,14.1,M
2019,9,12,9,4,C,8,277,7.5,M
2019,9,12,9,4,C,9,299,13.9,M
2019,9,12,9,4,C,10,238,16.2,V
2019,9,13,5,4,A,1,145,10.2,V
2019,9,13,5,4,A,2,135,7.1,V
2019,9,13,5,4,A,3,100,5.6,F
2019,9,13,5,4,A,4,127,9.1,V
2019,9,13,5,4,A,5,115,7.7,V
2019,9,13,5,4,A,6,164,12.2,V
2019,9,13,5,4,A,7,177,7.9,M
2019,9,13,5,4,A,8,158,8.9,M
2019,9,13,5,4,A,9,149,8.3,M
2019,9,13,5,4,A,10,171,8.6,M
2019,9,16,6,4,A,1,274,21.5,M
2019,9,16,6,4,A,2,306,28.1,V
2019,9,16,6,4,A,3,162,11.6,V
2019,9,16,6,4,A,4,262,14,M
2019,9,16,6,4,A,5,223,14.3,F
2019,9,16,6,4,A,6,160,9.5,V
2019,9,16,6,4,A,7,136,7.4,V
2019,9,16,6,4,A,8,230,14,M
2019,9,16,6,4,A,9,213,13.9,V
2019,9,16,6,4,A,10,281,22.5,V
2019,9,13,7,4,D,1,116,6.6,V
2019,9,13,7,4,D,2,116,3.3,M
2019,9,13,7,4,D,3,214,13.2,M
2019,9,13,7,4,D,4,126,5.5,V
2019,9,13,7,4,D,5,134,7.1,M
2019,9,13,7,4,D,6,109,5.7,V
2019,9,13,7,4,D,7,145,7.3,V
2019,9,13,7,4,D,8,186,14.5,V
2019,9,13,7,4,D,9,112,4.9,V
2019,9,13,7,4,D,10,82,2.8,V
2019,9,16,8,1,D,1,182,8.4,M
2019,9,16,8,1,D,2,206,9.3,M
2019,9,16,8,1,D,3,95,7.4,V
2019,9,16,8,1,D,4,172,13.3,V
2019,9,16,8,1,D,5,167,7.9,M
2019,9,16,8,1,D,6,203,12.4,M
2019,9,16,8,1,D,7,90,7.4,V
2019,9,16,8,1,D,8,180,9.8,M
2019,9,16,8,1,D,9,119,7.9,V
2019,9,16,8,1,D,10,125,9.5,F
2019,9,13,7,5,A,1,128,7.3,V
2019,9,13,7,5,A,2,155,11.4,V
2019,9,13,7,5,A,3,101,6.2,V
2019,9,13,7,5,A,4,115,6.5,V
2019,9,13,7,5,A,5,88,3.1,M
2019,9,13,7,5,A,6,77,4.6,V
2019,9,13,7,5,A,7,117,8.8,V
2019,9,13,7,5,A,8,192,10.4,M
2019,9,13,7,5,A,9,200,15.7,V
2019,9,13,7,5,A,10,150,7.5,M
2019,9,13,5,1,D,1,214,19.5,V
2019,9,13,5,1,D,2,130,8.6,M
2019,9,13,5,1,D,3,109,6.4,M
2019,9,13,5,1,D,4,80,5.1,V
2019,9,13,5,1,D,5,236,21.1,V
2019,9,13,5,1,D,6,144,9.1,V
2019,9,13,5,1,D,7,119,7.8,V
2019,9,13,5,1,D,8,132,5.4,M
2019,9,13,5,1,D,9,151,9,V
2019,9,13,5,1,D,10,188,17.9,V
2019,9,16,8,2,A,1,224,14.3,M
2019,9,16,8,2,A,2,127,6.1,V
2019,9,16,8,2,A,3,130,6.4,V
2019,9,16,8,2,A,4,151,7.7,M
2019,9,16,8,2,A,5,131,7.7,M
2019,9,16,8,2,A,6,109,8.6,V
2019,9,16,8,2,A,7,128,9.9,V
2019,9,16,8,2,A,8,118,6.8,V
2019,9,16,8,2,A,9,129,9.2,V
2019,9,16,8,2,A,10,126,15.7,V
2019,9,16,6,2,C,1,172,13,V
2019,9,16,6,2,C,2,301,21.8,M
2019,9,16,6,2,C,3,189,13.8,M
2019,9,16,6,2,C,4,132,7.8,V
2019,9,16,6,2,C,5,119,8.1,V
2019,9,16,6,2,C,6,100,7,V
2019,9,16,6,2,C,7,221,15,M
2019,9,16,6,2,C,8,150,10,V
2019,9,16,6,2,C,9,115,7.6,V
2019,9,16,6,2,C,10,168,12.6,V
2019,9,16,6,3,C,1,181,9.3,M
2019,9,16,6,3,C,2,87,4,V
2019,9,16,6,3,C,3,132,4.9,M
2019,9,16,6,3,C,4,108,7,V
2019,9,16,6,3,C,5,110,6.3,V
2019,9,16,6,3,C,6,145,6.9,M
2019,9,16,6,3,C,7,189,7.7,M
2019,9,16,6,3,C,8,108,5.9,V
2019,9,16,6,3,C,9,125,7.8,V
2019,9,16,6,3,C,10,105,7.2,V
2019,9,16,8,1,C,1,188,10.2,M
2019,9,16,8,1,C,2,141,7.8,V
2019,9,16,8,1,C,3,208,12.1,M
2019,9,16,8,1,C,4,146,7.8,V
2019,9,16,8,1,C,5,174,7.7,M
2019,9,16,8,1,C,6,116,7.2,V
2019,9,16,8,1,C,7,137,5,M
2019,9,16,8,1,C,8,99,3.6,M
2019,9,16,8,1,C,9,159,10.6,V
2019,9,16,8,1,C,10,179,7.8,M
2019,9,13,7,3,D,1,199,12.7,F
2019,9,13,7,3,D,2,244,12.7,M
2019,9,13,7,3,D,3,188,11.9,V
2019,9,13,7,3,D,4,235,13.8,M
2019,9,13,7,3,D,5,110,16.4,V
2019,9,13,7,3,D,6,202,14.9,V
2019,9,13,7,3,D,7,185,9.6,V
2019,9,13,7,3,D,8,231,12.3,M
2019,9,13,7,3,D,9,224,15,M
2019,9,13,7,3,D,10,129,8.5,V
