Year,Month,Day,Block,Row,Column,NumberOfPlants,BiomasWeight_kg),GrainFreshWeight_g,GrainDryWeight_g,CleanedHarvest_g,RootWeight_g
2019,8,22,5,2,A,20,344,38,30,26,23
2019,8,22,6,5,C,20,745,65,51,41,69
2019,8,23,7,3,B,20,278,22,25,22,27
2019,8,23,8,1,A,20,648,96,56,41,45
2019,8,22,5,3,C,20,882,66,,,88
2019,8,22,6,4,B,20,1417,183,,,143
2019,8,22,7,1,D,20,571,75,,,45
2019,8,22,8,4,A,20,800,83,,,69
2019,8,23,5,1,A,20,156,10,,,11
2019,8,22,6,3,D,20,205,16,,,21
2019,8,22,7,1,B,20,251,26,,,21
2019,8,22,8,4,B,22,502,35,,,42
2019,8,22,5,3,A,20,217,35,35,33,19
2019,8,22,6,3,A,17,302,57,47,44,26
2019,8,22,7,2,C,20,723,142,102,94,55
2019,8,22,8,5,C,14,225,35,43,38,16
2019,8,22,5,3,B,32,168,16,,,12
2019,8,22,6,4,C,20,1447,300,,,101
2019,8,22,7,2,B,21,261,33,,,22
2019,8,22,8,2,C,32,179,26,,,8
2019,9,19,5,4,C,15,1695,216,160,147,98
2019,9,19,5,5,D,23,1996,302,197,182,120
2019,9,19,6,2,A,25,612,63,58,46,49
2019,9,19,7,1,C,15,3736,474,345,329,372
2019,9,19,8,1,B,20,590,70,,,52
2019,9,19,5,3,D,14,1506,230,,,130
2019,9,19,6,1,D,20,818,120,100,147,56
2019,9,19,8,3,B,20,821,161,110,100,48
2019,9,19,7,2,A,,,,,,
