Year,Month,Day,Block,Row,Column,StandCount
2019,Jun,7,5,1,A,292
2019,Jun,7,5,1,B,104
2019,Jun,7,5,1,C,52
2019,Jun,7,5,1,D,38
2019,Jun,7,5,2,A,234
2019,Jun,7,5,2,B,227
2019,Jun,7,5,2,C,18
2019,Jun,7,5,2,D,11
2019,Jun,7,5,3,A,42
2019,Jun,7,5,3,B,235
2019,Jun,7,5,3,C,75
2019,Jun,7,5,3,D,81
2019,Jun,7,5,4,A,70
2019,Jun,7,5,4,B,56
2019,Jun,7,5,4,C,96
2019,Jun,7,5,4,D,194
2019,Jun,7,5,5,A,176
2019,Jun,7,5,5,B,43
2019,Jun,7,5,5,C,90
2019,Jun,7,5,5,D,159
2019,Jun,7,6,1,A,68
2019,Jun,7,6,1,B,74
2019,Jun,7,6,1,C,73
2019,Jun,7,6,1,D,57
2019,Jun,7,6,2,A,124
2019,Jun,7,6,2,B,204
2019,Jun,7,6,2,C,13
2019,Jun,7,6,2,D,13
2019,Jun,7,6,3,A,25
2019,Jun,7,6,3,B,86
2019,Jun,7,6,3,C,61
2019,Jun,7,6,3,D,57
2019,Jun,7,6,4,A,51
2019,Jun,7,6,4,B,113
2019,Jun,7,6,4,C,58
2019,Jun,7,6,4,D,138
2019,Jun,7,6,5,A,80
2019,Jun,7,6,5,B,49
2019,Jun,7,6,5,C,83
2019,Jun,7,6,5,D,
2019,Jun,7,7,1,A,94
2019,Jun,7,7,1,B,44
2019,Jun,7,7,1,C,66
2019,Jun,7,7,1,D,45
2019,Jun,7,7,2,A,
2019,Jun,7,7,2,B,231
2019,Jun,7,7,2,C,27
2019,Jun,7,7,2,D,75
2019,Jun,7,7,3,A,119
2019,Jun,7,7,3,B,128
2019,Jun,7,7,3,C,4
2019,Jun,7,7,3,D,34
2019,Jun,7,7,4,A,12
2019,Jun,7,7,4,B,128
2019,Jun,7,7,4,C,43
2019,Jun,7,7,4,D,92
2019,Jun,7,7,5,A,126
2019,Jun,7,7,5,B,49
2019,Jun,7,7,5,C,148
2019,Jun,7,7,5,D,
2019,Jun,7,8,1,A,125
2019,Jun,7,8,1,B,33
2019,Jun,7,8,1,C,59
2019,Jun,7,8,1,D,78
2019,Jun,7,8,2,A,56
2019,Jun,7,8,2,B,104
2019,Jun,7,8,2,C,218
2019,Jun,7,8,2,D,50
2019,Jun,7,8,3,A,78
2019,Jun,7,8,3,B,65
2019,Jun,7,8,3,C,4
2019,Jun,7,8,3,D,66
2019,Jun,7,8,4,A,134
2019,Jun,7,8,4,B,3
2019,Jun,7,8,4,C,79
2019,Jun,7,8,4,D,48
2019,Jun,7,8,5,A,136
2019,Jun,7,8,5,B,123
2019,Jun,7,8,5,C,23
2019,Jun,7,8,5,D,
2019,Jun,7,9,1,A,303
2019,Jun,7,9,1,B,196
2019,Jun,7,9,1,C,72
2019,Jun,7,9,1,D,130
2019,Jun,7,9,2,A,196
2019,Jun,7,9,2,B,388
2019,Jun,7,9,2,C,311
2019,Jun,7,9,2,D,335
2019,Jun,7,9,3,A,163
2019,Jun,7,9,3,B,194
2019,Jun,7,9,3,C,215
2019,Jun,7,9,3,D,240
2019,Jun,7,9,4,A,243
2019,Jun,7,9,4,B,200
2019,Jun,7,9,4,C,173
2019,Jun,7,9,4,D,135
2019,Jun,21,5,1,A,273
2019,Jun,21,5,1,B,131
2019,Jun,21,5,1,C,62
2019,Jun,21,5,1,D,50
2019,Jun,21,5,2,A,260
2019,Jun,21,5,2,B,195
2019,Jun,21,5,2,C,8
2019,Jun,21,5,2,D,8
2019,Jun,21,5,3,A,44
2019,Jun,21,5,3,B,168
2019,Jun,21,5,3,C,72
2019,Jun,21,5,3,D,70
2019,Jun,21,5,4,A,98
2019,Jun,21,5,4,B,62
2019,Jun,21,5,4,C,205
2019,Jun,21,5,4,D,131
2019,Jun,21,5,5,A,163
2019,Jun,21,5,5,B,53
2019,Jun,21,5,5,C,91
2019,Jun,21,5,5,D,168
2019,Jun,21,6,1,A,5
2019,Jun,21,6,1,B,14
2019,Jun,21,6,1,C,84
2019,Jun,21,6,1,D,55
2019,Jun,21,6,2,A,144
2019,Jun,21,6,2,B,160
2019,Jun,21,6,2,C,108
2019,Jun,21,6,2,D,6
2019,Jun,21,6,3,A,24
2019,Jun,21,6,3,B,70
2019,Jun,21,6,3,C,92
2019,Jun,21,6,3,D,66
2019,Jun,21,6,4,A,51
2019,Jun,21,6,4,B,113
2019,Jun,21,6,4,C,120
2019,Jun,21,6,4,D,128
2019,Jun,21,6,5,A,108
2019,Jun,21,6,5,B,64
2019,Jun,21,6,5,C,80
2019,Jun,21,6,5,D,
2019,Jun,21,7,1,A,84
2019,Jun,21,7,1,B,75
2019,Jun,21,7,1,C,108
2019,Jun,21,7,1,D,59
2019,Jun,21,7,2,A,
2019,Jun,21,7,2,B,375
2019,Jun,21,7,2,C,50
2019,Jun,21,7,2,D,73
2019,Jun,21,7,3,A,98
2019,Jun,21,7,3,B,138
2019,Jun,21,7,3,C,8
2019,Jun,21,7,3,D,63
2019,Jun,21,7,4,A,6
2019,Jun,21,7,4,B,66
2019,Jun,21,7,4,C,62
2019,Jun,21,7,4,D,56
2019,Jun,21,7,5,A,155
2019,Jun,21,7,5,B,0
2019,Jun,21,7,5,C,110
2019,Jun,21,7,5,D,
2019,Jun,21,8,1,A,124
2019,Jun,21,8,1,B,47
2019,Jun,21,8,1,C,68
2019,Jun,21,8,1,D,0
2019,Jun,21,8,2,A,70
2019,Jun,21,8,2,B,109
2019,Jun,21,8,2,C,208
2019,Jun,21,8,2,D,44
2019,Jun,21,8,3,A,78
2019,Jun,21,8,3,B,101
2019,Jun,21,8,3,C,3
2019,Jun,21,8,3,D,66
2019,Jun,21,8,4,A,123
2019,Jun,21,8,4,B,78
2019,Jun,21,8,4,C,4
2019,Jun,21,8,4,D,110
2019,Jun,21,8,5,A,129
2019,Jun,21,8,5,B,137
2019,Jun,21,8,5,C,32
2019,Jun,21,8,5,D,
2019,Jun,21,9,1,A,262
2019,Jun,21,9,1,B,162
2019,Jun,21,9,1,C,99
2019,Jun,21,9,1,D,123
2019,Jun,21,9,2,A,172
2019,Jun,21,9,2,B,342
2019,Jun,21,9,2,C,240
2019,Jun,21,9,2,D,212
2019,Jun,21,9,3,A,197
2019,Jun,21,9,3,B,177
2019,Jun,21,9,3,C,199
2019,Jun,21,9,3,D,164
2019,Jun,21,9,4,A,199
2019,Jun,21,9,4,B,211
2019,Jun,21,9,4,C,173
2019,Jun,21,9,4,D,83
