SampleNmbr,BlockID,PlantingDate,SamplingDate,Year,Month ,Day,CropTrt,Row,Height_cm,,,
1,10,9/26/2019,11/14/2019,2019,11,14,SS,1,120,,,
2,10,9/26/2019,11/14/2019,2019,11,14,SS,1,135,,,
3,10,9/26/2019,11/14/2019,2019,11,14,SS,1,140,,,
4,10,9/26/2019,11/14/2019,2019,11,14,SS,1,62,,,
5,10,9/26/2019,11/14/2019,2019,11,14,SS,1,65,,,
6,10,9/26/2019,11/14/2019,2019,11,14,SS,1,73,,,
7,10,9/26/2019,11/14/2019,2019,11,14,SS,1,142,,,
8,10,9/26/2019,11/14/2019,2019,11,14,SS,1,155,,,
9,10,9/26/2019,11/14/2019,2019,11,14,SS,1,122,,,
10,10,9/26/2019,11/14/2019,2019,11,14,SS,1,148,,,
11,10,9/26/2019,11/14/2019,2019,11,14,SS,1,152,,,
12,10,9/26/2019,11/14/2019,2019,11,14,SS,1,137,,,
13,10,9/26/2019,11/14/2019,2019,11,14,SS,1,170,,,
14,10,9/26/2019,11/14/2019,2019,11,14,SS,1,168,,,
15,10,9/26/2019,11/14/2019,2019,11,14,SS,1,181,,,
16,10,9/26/2019,11/14/2019,2019,11,14,SS,1,70,,,
17,10,9/26/2019,11/14/2019,2019,11,14,SS,1,92,,,
18,10,9/26/2019,11/14/2019,2019,11,14,SS,1,60,,,
19,10,9/26/2019,11/14/2019,2019,11,14,SS,1,107,,,
20,10,9/26/2019,11/14/2019,2019,11,14,SS,1,94,,,
21,10,9/26/2019,11/14/2019,2019,11,14,SS,1,100,,,
22,10,9/26/2019,11/14/2019,2019,11,14,SS,1,147,,,
23,10,9/26/2019,11/14/2019,2019,11,14,SS,1,140,,,
24,10,9/26/2019,11/14/2019,2019,11,14,SS,1,121,,,
25,10,9/26/2019,11/14/2019,2019,11,14,SS,1,208,,,
26,10,9/26/2019,11/14/2019,2019,11,14,SS,1,190,,,
27,10,9/26/2019,11/14/2019,2019,11,14,SS,1,162,,,
28,10,9/26/2019,11/14/2019,2019,11,14,SS,1,117,,,
29,10,9/26/2019,11/14/2019,2019,11,14,SS,1,122,,,
30,10,9/26/2019,11/14/2019,2019,11,14,SS,1,115,,,
31,10,9/26/2019,11/14/2019,2019,11,14,SS,1,130,,,
32,10,9/26/2019,11/14/2019,2019,11,14,SS,1,128,,,
33,10,9/26/2019,11/14/2019,2019,11,14,SS,1,140,,,
34,10,9/26/2019,11/14/2019,2019,11,14,SS,2,45,,,
35,10,9/26/2019,11/14/2019,2019,11,14,SS,2,80,,,
36,10,9/26/2019,11/14/2019,2019,11,14,SS,2,83,,,
37,10,9/26/2019,11/14/2019,2019,11,14,SS,2,120,,,
38,10,9/26/2019,11/14/2019,2019,11,14,SS,2,131,,,
39,10,9/26/2019,11/14/2019,2019,11,14,SS,2,137,,,
40,10,9/26/2019,11/14/2019,2019,11,14,SS,2,150,,,
41,10,9/26/2019,11/14/2019,2019,11,14,SS,2,144,,,
42,10,9/26/2019,11/14/2019,2019,11,14,SS,2,148,,,
43,10,9/26/2019,11/14/2019,2019,11,14,SS,2,118,,,
44,10,9/26/2019,11/14/2019,2019,11,14,SS,2,160,,,
45,10,9/26/2019,11/14/2019,2019,11,14,SS,2,157,,,
46,10,9/26/2019,11/14/2019,2019,11,14,SS,2,147,,,
47,10,9/26/2019,11/14/2019,2019,11,14,SS,2,170,,,
48,10,9/26/2019,11/14/2019,2019,11,14,SS,2,181,,,
49,10,9/26/2019,11/14/2019,2019,11,14,SS,2,175,,,
50,10,9/26/2019,11/14/2019,2019,11,14,SS,2,172,,,
51,10,9/26/2019,11/14/2019,2019,11,14,SS,2,150,,,
52,10,9/26/2019,11/14/2019,2019,11,14,SS,2,168,,,
53,10,9/26/2019,11/14/2019,2019,11,14,SS,2,152,,,
54,10,9/26/2019,11/14/2019,2019,11,14,SS,2,155,,,
55,10,9/26/2019,11/14/2019,2019,11,14,SS,2,205,,,
56,10,9/26/2019,11/14/2019,2019,11,14,SS,2,215,,,
57,10,9/26/2019,11/14/2019,2019,11,14,SS,2,200,,,
58,10,9/26/2019,11/14/2019,2019,11,14,SS,2,92,,,
59,10,9/26/2019,11/14/2019,2019,11,14,SS,2,101,,,
60,10,9/26/2019,11/14/2019,2019,11,14,SS,2,136,,,
