Year,Month,Day,Block,Row,Column,Rep,Emergence
2019,5,6,1,1,A,1,2
2019,5,6,1,1,A,2,9
2019,5,6,1,1,B,1,3
2019,5,6,1,1,B,2,1
2019,5,6,1,1,C,1,1
2019,5,6,1,1,C,2,0
2019,5,6,1,1,D,1,3
2019,5,6,1,1,D,2,
2019,5,6,1,2,A,1,1
2019,5,6,1,2,A,2,
2019,5,6,1,2,B,1,0
2019,5,6,1,2,B,2,0
2019,5,6,1,2,C,1,2
2019,5,6,1,2,C,2,5
2019,5,6,1,2,D,1,28
2019,5,6,1,2,D,2,27
2019,5,6,2,3,A,1,15
2019,5,6,2,3,A,2,4
2019,5,6,2,3,B,1,1
2019,5,6,2,3,B,2,5
2019,5,6,2,3,C,1,13
2019,5,6,2,3,C,2,9
2019,5,6,2,3,D,1,0
2019,5,6,2,3,D,2,
2019,5,6,2,4,A,1,2
2019,5,6,2,4,A,2,5
2019,5,6,2,4,B,1,8
2019,5,6,2,4,B,2,7
2019,5,6,2,4,C,1,1
2019,5,6,2,4,C,2,0
2019,5,6,2,4,D,1,1
2019,5,6,2,4,D,2,
2019,5,6,3,1,A,1,1
2019,5,6,3,1,A,2,5
2019,5,6,3,1,B,1,1
2019,5,6,3,1,B,2,7
2019,5,6,3,1,C,1,3
2019,5,6,3,1,C,2,18
2019,5,6,3,1,D,1,17
2019,5,6,3,1,D,2,27
2019,5,6,3,2,A,1,
2019,5,6,3,2,A,2,
2019,5,6,3,2,B,1,0
2019,5,6,3,2,B,2,0
2019,5,6,3,2,C,1,
2019,5,6,3,2,C,2,
2019,5,6,3,2,D,1,5
2019,5,6,3,2,D,2,1
2019,5,6,4,3,A,1,3
2019,5,6,4,3,A,2,
2019,5,6,4,3,B,1,15
2019,5,6,4,3,B,2,2
2019,5,6,4,3,C,1,1
2019,5,6,4,3,C,2,6
2019,5,6,4,3,D,1,1
2019,5,6,4,3,D,2,4
2019,5,6,4,4,A,1,5
2019,5,6,4,4,A,2,4
2019,5,6,4,4,B,1,0
2019,5,6,4,4,B,2,2
2019,5,6,4,4,C,1,0
2019,5,6,4,4,C,2,
2019,5,6,4,4,D,1,1
2019,5,6,4,4,D,2,3
2019,5,8,1,1,A,1,18
2019,5,8,1,1,A,2,21
2019,5,8,1,1,B,1,10
2019,5,8,1,1,B,2,19
2019,5,8,1,1,C,1,6
2019,5,8,1,1,C,2,6
2019,5,8,1,1,D,1,9
2019,5,8,1,1,D,2,
2019,5,8,1,2,A,1,1
2019,5,8,1,2,A,2,
2019,5,8,1,2,B,1,0
2019,5,8,1,2,B,2,5
2019,5,8,1,2,C,1,2
2019,5,8,1,2,C,2,5
