Year,Month,Day,Block,Row,Column,Rep,Height_mm,Diameter_cm,Sex
2019,8,29,1,1,C,1,293,17,V
2019,8,29,1,1,C,2,198,7.6,V
2019,8,29,1,1,C,3,241,7.6,M
2019,8,29,1,1,C,4,235,9.3,V
2019,8,29,1,1,C,5,245,11.8,V
2019,8,29,1,1,C,6,278,10.8,M
2019,8,29,1,1,C,7,258,8.1,V
2019,8,29,1,1,C,8,295,10.6,M
2019,8,29,1,1,C,9,241,10.9,V
2019,8,29,1,1,C,10,225,9.9,V
2019,8,29,1,1,A,1,265,12,V
2019,8,29,1,1,A,2,200,13.1,V
2019,8,29,1,1,A,3,254,10.9,
2019,8,29,1,1,A,4,206,7,V
2019,8,29,1,1,A,5,213,6.4,M
2019,8,29,1,1,A,6,234,9.9,M
2019,8,29,1,1,A,7,275,11.2,V
2019,8,29,1,1,A,8,165,5.6,V
2019,8,29,1,1,A,9,260,10.6,V
2019,8,29,1,1,A,10,175,6.8,V
2019,8,29,1,1,B,1,233,8.3,M
2019,8,29,1,1,B,2,213,8.6,V
2019,8,29,1,1,B,3,242,9.5,V
2019,8,29,1,1,B,4,272,12.5,V
2019,8,29,1,1,B,5,215,6.7,V
2019,8,29,1,1,B,6,224,9.2,V
2019,8,29,1,1,B,7,240,6.6,M
2019,8,29,1,1,B,8,250,10.3,V
2019,8,29,1,1,B,9,265,6.1,M
2019,8,29,1,1,B,10,276,12.9,V
2019,9,5,2,3,A,1,281,13.7,
2019,9,5,2,3,A,2,281,12.6,
2019,9,5,2,3,A,3,296,9.6,
2019,9,5,2,3,A,4,233,8.9,
2019,9,5,2,3,A,5,303,12.5,
2019,9,5,2,3,A,6,213,8.5,
2019,9,5,2,3,A,7,240,12.5,
2019,9,5,2,3,A,8,295,16.9,
2019,9,5,2,3,A,9,253,12.6,
2019,9,5,2,3,A,10,260,11.7,
2019,9,5,2,4,B,1,326,11.3,
2019,9,5,2,4,B,2,287,15,
2019,9,5,2,4,B,3,352,15.8,
2019,9,5,2,4,B,4,331,17.5,
2019,9,5,2,4,B,5,211,9.3,
2019,9,5,2,4,B,6,245,8.3,
2019,9,5,2,4,B,7,212,9.2,
2019,9,5,2,4,B,8,226,10.8,
2019,9,5,2,4,B,9,265,11.9,
2019,9,5,2,4,B,10,244,9.3,
2019,9,5,2,4,C,1,279,12.1,V
2019,9,5,2,4,C,2,300,9.8,M
2019,9,5,2,4,C,3,192,8.3,V
2019,9,5,2,4,C,4,276,10.1,V
2019,9,5,2,4,C,5,287,10.2,M
2019,9,5,2,4,C,6,257,9.7,V
2019,9,5,2,4,C,7,307,10.1,M
2019,9,5,2,4,C,8,282,10.5,V
2019,9,5,2,4,C,9,247,7.4,M
2019,9,5,2,4,C,10,268,13.2,V
2019,9,5,3,1,B,1,226,10,V
2019,9,5,3,1,B,2,253,12.9,V
2019,9,5,3,1,B,3,265,11.8,V
2019,9,5,3,1,B,4,272,10.5,M
2019,9,5,3,1,B,5,231,11.3,V
2019,9,5,3,1,B,6,248,8,M
2019,9,5,3,1,B,7,253,11,V
2019,9,5,3,1,B,8,203,9.1,V
2019,9,5,3,1,B,9,274,8.3,M
2019,9,5,3,1,B,10,232,9.6,V
2019,9,5,3,1,C,1,255,9.5,M
2019,9,5,3,1,C,2,250,12.4,V
2019,9,5,3,1,C,3,292,10.5,M
2019,9,5,3,1,C,4,228,10.9,V
2019,9,5,3,1,C,5,274,11.4,M
2019,9,5,3,1,C,6,253,10.1,M
2019,9,5,3,1,C,7,240,10.2,V
2019,9,5,3,1,C,8,249,11.8,M
2019,9,5,3,1,C,9,229,9.4,V
2019,9,5,3,1,C,10,221,11.4,V
2019,9,5,3,2,B,1,299,12,M
2019,9,5,3,2,B,2,317,11.5,M
2019,9,5,3,2,B,3,260,10.1,V
2019,9,5,3,2,B,4,315,14.6,V
2019,9,5,3,2,B,5,244,10,V
2019,9,5,3,2,B,6,224,8.2,V
2019,9,5,3,2,B,7,291,8,M
2019,9,5,3,2,B,8,281,11.8,V
2019,9,5,3,2,B,9,325,11.1,M
2019,9,5,3,2,B,10,317,13.4,M
2019,9,5,4,3,C,1,381,15.2,M
2019,9,5,4,3,C,2,269,12.6,V
2019,9,5,4,3,C,3,376,18.9,V
2019,9,5,4,3,C,4,301,12.2,V
2019,9,5,4,3,C,5,311,14.6,V
2019,9,5,4,3,C,6,251,11.8,V
2019,9,5,4,3,C,7,316,14.6,M
2019,9,5,4,3,C,8,308,13.2,V
2019,9,5,4,3,C,9,335,15.1,V
2019,9,5,4,3,C,10,343,19.8,V
2019,9,5,4,3,D,1,298,13.9,V
2019,9,5,4,3,D,2,269,11.8,V
2019,9,5,4,3,D,3,335,20.4,V
2019,9,5,4,3,D,4,306,15.2,V
2019,9,5,4,3,D,5,310,14.7,V
2019,9,5,4,3,D,6,310,13.4,V
2019,9,5,4,3,D,7,309,13.9,M
2019,9,5,4,3,D,8,325,11.5,M
2019,9,5,4,3,D,9,296,16.6,V
2019,9,5,4,3,D,10,263,13.1,V
2019,9,5,4,4,D,1,230,8.6,V
2019,9,5,4,4,D,2,246,11.4,M
2019,9,5,4,4,D,3,264,14.3,V
2019,9,5,4,4,D,4,216,8.5,V
2019,9,5,4,4,D,5,290,12.7,M
2019,9,5,4,4,D,6,237,10.2,V
2019,9,5,4,4,D,7,217,8.2,V
2019,9,5,4,4,D,8,259,11.3,V
2019,9,5,4,4,D,9,283,10.3,M
2019,9,5,4,4,D,10,211,9.3,V
