Year,Month,Day,Block,Row,Column,StandCount
2019,5,17,1,1,A,258
2019,5,17,1,1,B,436
2019,5,17,1,1,C,204
2019,5,17,1,1,D,10
2019,5,17,1,2,A,11
2019,5,17,1,2,B,235
2019,5,17,1,2,C,56
2019,5,17,1,2,D,195
2019,5,17,2,3,A,
2019,5,17,2,3,B,196
2019,5,17,2,3,C,580
2019,5,17,2,3,D,
2019,5,17,2,4,A,103
2019,5,17,2,4,B,228
2019,5,17,2,4,C,465
2019,5,17,2,4,D,14
2019,5,17,3,1,A,221
2019,5,17,3,1,B,416
2019,5,17,3,1,C,253
2019,5,17,3,1,D,450
2019,5,17,3,2,A,
2019,5,17,3,2,B,257
2019,5,17,3,2,C,
2019,5,17,3,2,D,69
2019,5,17,4,3,A,11
2019,5,17,4,3,B,119
2019,5,17,4,3,C,176
2019,5,17,4,3,D,169
2019,5,17,4,4,A,279
2019,5,17,4,4,B,244
2019,5,17,4,4,C,13
2019,5,17,4,4,D,535
