Year,Month,Day,Block,Row,Column,StandCount
2019,7,,10,1,A,30
2019,7,,10,1,B,180
2019,7,,10,1,C,17
2019,7,,10,1,D,5
2019,7,,10,2,A,12
2019,7,,10,2,B,142
2019,7,,10,2,C,38
2019,7,,10,2,D,15
2019,7,,11,3,A,53
2019,7,,11,3,B,67
2019,7,,11,3,C,44
2019,7,,11,3,D,14
2019,7,,11,4,A,73
2019,7,,11,4,B,26
2019,7,,11,4,C,146
2019,7,,11,4,D,12
2019,7,,12,1,A,13
2019,7,,12,1,B,160
2019,7,,12,1,C,56
2019,7,,12,1,D,3
2019,7,,12,2,A,7
2019,7,,12,2,B,55
2019,7,,12,2,C,16
2019,7,,12,2,D,41
2019,7,,13,3,A,8
2019,7,,13,3,B,68
2019,7,,13,3,C,58
2019,7,,13,3,D,43
2019,7,,13,4,A,98
2019,7,,13,4,B,82
2019,7,,13,4,C,13
2019,7,,13,4,D,118
2019,7,,14,1,A,19
2019,7,,14,1,B,2
2019,7,,14,1,C,20
2019,7,,14,1,D,67
2019,7,,14,2,A,30
2019,7,,14,2,B,8
2019,7,,14,2,C,6
2019,7,,14,2,D,3
2019,7,,15,3,A,0
2019,7,,15,3,B,1
2019,7,,15,3,C,80
2019,7,,15,3,D,0
2019,7,,15,4,A,29
2019,7,,15,4,B,27
2019,7,,15,4,C,53
2019,7,,15,4,D,42
2019,7,,16,1,A,2
2019,7,,16,1,B,67
2019,7,,16,1,C,16
2019,7,,16,1,D,28
2019,7,,16,2,A,41
2019,7,,16,2,B,202
2019,7,,16,2,C,2
2019,7,,16,2,D,2
2019,7,,17,3,A,43
2019,7,,17,3,B,17
2019,7,,17,3,C,3
2019,7,,17,3,D,44
2019,7,,17,4,A,19
2019,7,,17,4,B,2
2019,7,,17,4,C,108
2019,7,,17,4,D,5
