Experiment,Variety,Column,Row,Block,Class,Latitude
PilotPlot1,Yuma-2,A,1,1,SouthChina,25
PilotPlot1,Puma-3,B,1,1,SouthChina,25
PilotPlot1,Bama,C,1,1,SouthChina,25
PilotPlot1,BerryBlossom,D,1,1,Uncertain,30
PilotPlot1,CherryBlossomxTI,A,2,1,Uncertain,30
PilotPlot1,Eletta,B,2,1,SouthernEuropean,45
PilotPlot1,Tygra,C,2,1,Poland,50
PilotPlot1,CarmagnolaSelezionata,D,2,1,SouthernEuropean,40
PilotPlot1,Yuma-2,A,3,2,SouthChina,25
PilotPlot1,Eletta,B,3,2,SouthernEuropean,45
PilotPlot1,CarmagnolaSelezionata,C,3,2,SouthernEuropean,40
PilotPlot1,CherryBlossomxTI,D,3,2,Uncertain,30
PilotPlot1,Tygra,A,4,2,Poland,50
PilotPlot1,Bama,B,4,2,SouthChina,25
PilotPlot1,Puma-3,C,4,2,SouthChina,25
PilotPlot1,BerryBlossom,D,4,2,Uncertain,30
PilotPlot1,Eletta,A,1,3,SouthernEuropean,45
PilotPlot1,Puma-3,B,1,3,SouthChina,25
PilotPlot1,Yuma-2,C,1,3,SouthChina,25
PilotPlot1,CarmagnolaSelezionata,D,1,3,SouthernEuropean,40
PilotPlot1,BerryBlossom,A,2,3,Uncertain,30
PilotPlot1,Bama,B,2,3,SouthChina,25
PilotPlot1,CherryBlossomxTI,C,2,3,Uncertain,30
PilotPlot1,Tygra,D,2,3,Poland,50
PilotPlot1,CherryBlossomxTI,A,3,4,Uncertain,30
PilotPlot1,Tygra,B,3,4,Poland,50
PilotPlot1,Yuma-2,C,3,4,SouthChina,25
PilotPlot1,Bama,D,3,4,SouthChina,25
PilotPlot1,CarmagnolaSelezionata,A,4,4,SouthernEuropean,40
PilotPlot1,Eletta,B,4,4,SouthernEuropean,45
PilotPlot1,BerryBlossom,C,4,4,Uncertain,30
PilotPlot1,Puma-3,D,4,4,SouthChina,25
VarietyTrial,Helena,A,1,5,SouthernEuropean,45
VarietyTrial,Canda,B,1,5,Canadian,50
VarietyTrial,CFX-1,C,1,5,Canadian,50
VarietyTrial,Si-1,D,1,5,SouthChina,25
VarietyTrial,CarmagnolaSelezionata,A,2,5,SouthernEuropean,40
VarietyTrial,Joey,B,2,5,Canadian,50
VarietyTrial,CherryBlossomxTI,C,2,5,Uncertain,30
VarietyTrial,BerryBlossom,D,2,5,Uncertain,30
VarietyTrial,HanFNQ,A,3,5,NorthernChinese,45
VarietyTrial,HanFN-H,B,3,5,NorthernChinese,45
VarietyTrial,Carmagnola,C,3,5,SouthernEuropean,40
VarietyTrial,HanNW,D,3,5,MiddleChinese,35
VarietyTrial,Yuma-2,A,4,5,SouthChina,25
VarietyTrial,CRS-1,B,4,5,Canadian,50
VarietyTrial,HanNE,C,4,5,MiddleChinese,35
