Variety,Block,Row,Column,Rep,Sampling_Date,Cannabichromene,Cannabidiol,Cannabidiolic_Acid,Cannabidivarin,Cannabigerol,Cannabigerolic_ Acid,Cannabicyclol,Cannabinol,8-Tetrahydrocannabinol,9-Tetrahydrocannabinol,Tetrahydrocannabinolic_Acid,Tetrahydrocannabidivarin,Total_Potential_THC,Total_Potential_CBD
Phylos,,,,1,8/13/2019,0.087,0.808,0.532,BLOQ,0.144,0.07,BLOQ,BLOQ,BLOQ,0.078,BLOQ,BLOQ,0.078,1.275
Bama,1,1,C,1,8/13/2019,0.064,0.315,0.494,BLOQ,0.011,BLOQ,0.012,0.015,BLOQ,0.624,0.323,0.041,0.907,0.748
Yuma-2,1,1,A,1,8/13/2019,0.051,0.361,0.311,BLOQ,0.016,BLOQ,BLOQ,BLOQ,BLOQ,0.508,0.064,0.066,0.564,0.634
BerryBlossom,1,1,D,1,8/13/2019,0.134,2.199,1.056,BLOQ,0.107,0.03,BLOQ,BLOQ,BLOQ,0.203,BLOQ,BLOQ,0.203,3.125
BerryBlossom,1,1,D,2,8/13/2019,0.103,1.664,1.738,BLOQ,0.075,0.037,BLOQ,BLOQ,BLOQ,0.211,0.012,BLOQ,0.222,3.188
BerryBlossom,4,4,C,1,8/13/2019,0.143,2.219,1.231,BLOQ,0.11,0.041,BLOQ,BLOQ,BLOQ,0.263,BLOQ,BLOQ,0.263,3.299
BerryBlossom,2,4,D,1,8/13/2019,0.145,2.066,1.953,BLOQ,0.075,0.027,BLOQ,BLOQ,BLOQ,0.285,0.037,BLOQ,0.317,3.779
BerryBlossom,2,4,D,2,8/13/2019,0.11,1.641,1.315,BLOQ,0.083,0.044,BLOQ,BLOQ,BLOQ,0.202,BLOQ,BLOQ,0.202,2.794
CherryBlossomxTI,1,2,A,1,8/13/2019,0.073,1.208,1.692,BLOQ,0.068,0.05,BLOQ,BLOQ,BLOQ,0.165,0.019,BLOQ,0.182,2.692
CherryBlossomxTI,1,2,A,2,8/13/2019,0.086,1.357,1.719,BLOQ,0.083,0.071,BLOQ,BLOQ,BLOQ,0.194,0.03,BLOQ,0.22,2.865
CherryBlossomxTI,3,2,C,1,8/13/2019,0.139,1.983,1.598,BLOQ,0.087,0.038,BLOQ,BLOQ,BLOQ,0.246,BLOQ,BLOQ,0.246,3.384
CherryBlossomxTI,4,3,A,1,8/13/2019,0.108,1.566,1.347,BLOQ,0.106,0.057,BLOQ,BLOQ,BLOQ,0.191,BLOQ,BLOQ,0.191,2.747
CherryBlossomxTI,2,3,D,1,8/13/2019,0.099,1.609,1.331,BLOQ,0.079,0.041,BLOQ,BLOQ,BLOQ,0.186,BLOQ,BLOQ,0.186,2.776
CarmagnolaSelezionata,4,4,A,1,8/13/2019,0.079,1.168,0.814,BLOQ,0.072,0.038,BLOQ,0.011,BLOQ,0.262,0.042,0.011,0.299,1.882
CarmagnolaSelezionata,2,3,C,1,8/13/2019,0.055,0.978,0.077,BLOQ,0.057,BLOQ,BLOQ,0.087,BLOQ,0.105,BLOQ,BLOQ,0.105,1.046
CarmagnolaSelezionata,3,1,D,1,8/13/2019,0.062,1.208,0.485,BLOQ,0.048,0.012,BLOQ,0.011,BLOQ,0.16,BLOQ,BLOQ,0.16,1.633
CarmagnolaSelezionata,1,2,D,1,8/13/2019,0.043,0.709,0.473,BLOQ,0.372,0.275,BLOQ,BLOQ,BLOQ,0.112,BLOQ,BLOQ,0.112,1.124
Eletta,3,1,A,3,8/13/2019,0.068,1.081,1.037,BLOQ,0.074,0.057,BLOQ,BLOQ,BLOQ,0.127,BLOQ,0.025,0.127,1.99
Eletta,1,2,B,1,8/13/2019,0.094,1.557,1.252,BLOQ,0.085,0.057,0.012,BLOQ,BLOQ,0.176,BLOQ,0.02,0.176,2.655
Eletta,2,3,B,2,8/13/2019,0.164,2.377,1.609,BLOQ,0.128,0.038,0.015,0.011,BLOQ,0.275,0.027,BLOQ,0.299,3.788
Eletta,4,4,B,4,8/13/2019,0.08,1.307,1.544,BLOQ,0.071,0.069,0.01,BLOQ,BLOQ,0.158,0.024,0.022,0.179,2.661
Phylos,,,,3,10/18/2019,0.261,3.704,2.771,BLOQ,0.205,0.067,BLOQ,BLOQ,BLOQ,0.314,BLOQ,BLOQ,0.314,6.134
Bama,,,,1,9/19/2019,0.105,0.118,0.054,BLOQ,BLOQ,BLOQ,BLOQ,0.074,BLOQ,1.143,0.082,0.066,1.215,0.165
Bama,,,,1,10/24/2019,BLOQ,BLOQ,0.858,BLOQ,BLOQ,0.061,BLOQ,BLOQ,BLOQ,BLOQ,0.395,BLOQ,0.395,0.858
Yuma-2,,,,1,10/24/2019,BLOQ,BLOQ,0.263,BLOQ,BLOQ,0.081,BLOQ,BLOQ,BLOQ,0.116,0.862,BLOQ,0.872,0.263
BerryBlossom,,,,1,10/18/2019,0.292,3.786,1.346,BLOQ,0.213,BLOQ,BLOQ,BLOQ,BLOQ,0.245,BLOQ,BLOQ,0.245,4.966
BerryBlossom,,,,2,10/18/2019,0.135,2.214,0.985,BLOQ,0.132,BLOQ,BLOQ,BLOQ,BLOQ,0.151,BLOQ,BLOQ,0.151,3.078
