latitude,variety,r_squared,x_start,x_end,slope,intercept,breakpoint_se,breakpoint_2_se,slope_se
25,Bama,0.966,91.213,112,3.713,-338.33,0.438,NA,0.017
25,Puma-3,0.98,84.051,112,3.107,-259.72,0.424,NA,0.064
25,Puma-4,0.962,83.59,112,3.007,-252.92,0.614,NA,0.089
25,Si-1,0.804,100.85,112,4.934,-496.12,1.707,NA,0.916
25,Yuma,0.942,90.292,112,2.976,-268.35,0.539,NA,0.101
25,Yuma-2,0.957,91.75,112,3.478,-318.65,0.469,NA,0.109
30,BerryBlossom,0.957,55.49,86.175,2.996,-166.01,1.171,1.543,0.143
30,CherryBlossomxTI,0.97,52.746,79.265,3.742,-196.58,0.899,0.967,0.158
35,HanNE,0.751,19,66.049,1.928,-30.558,3.255,NA,0.133
35,HanNW,0.873,19,68.1,2.239,-52.448,2.776,NA,0.124
40,Carmagnola,0.73,19,28.475,8.741,-154.53,0.669,NA,0.875
40,CarmagnolaSelezionata,0.797,19,27.717,10,-182.5,0.659,NA,1.037
45,Eletta,0.872,19,31.444,9.148,-192.04,0.576,NA,0.606
45,Fibranova,0.942,19,28.902,10.592,-210.86,0.291,NA,0.443
45,HanFN-H,0.768,19,27.247,10.456,-188.57,0.611,NA,1.077
45,HanFNQ,0.72,19,26.458,10.432,-177.43,0.531,NA,1.051
45,Helena,0.815,19,26.259,12.699,-235.98,0.384,NA,0.953
50,Canda,0.714,19,23.639,15.312,-261.98,0.33,NA,1.552
50,CFX-1,0.401,19,26.474,3.995,-5.771,1.03,NA,0.78
50,CFX-2,0.565,19,24.176,10.625,-156.87,0.604,NA,1.729
50,CRS-1,0.698,19,23.552,13.125,-209.13,0.32,NA,1.287
50,Joey,0.641,19,23.783,11.875,-182.71,0.421,NA,1.484
50,Tygra,0.856,19,25.052,15.938,-299.27,0.41,NA,1.463
